CPU,Frequency (kHz),CoreMarks (iter/s),CoreMarks/MHz,Power (mW),Energy (J),ULPMark-CM (iter/mJ),Time (s)
1,300000,1113.952929,3.7131764300000003,186.46748204461295,41.85166985754015,5.973477303318617,224.444870487
1,576000,2138.76294,3.713130104166667,211.7666884227995,24.755782215119197,10.098650805197199,116.901210476
1,748800,2780.434638,3.7131872836538466,227.76890086790183,20.481477992499734,12.206150361392345,89.922188299
1,1017600,3778.489813,3.713138574095912,254.63414435293907,16.849550145679565,14.837191369414876,66.171605495
1,1209600,4491.394488,3.7131237500000003,274.0748167532759,15.257063410333714,16.38585311447767,55.667512948
1,1363200,5061.548429,3.7129903381748828,291.16008079430094,14.382494526950056,17.382241970024573,49.397206127
1,1516800,5632.025952,3.713097278481013,303.5258385712556,13.475015512487362,18.55285433759418,44.394953576
1,1593600,5917.299818,3.7131650464357433,312.0076148980654,13.183601865486429,18.9629512898504,42.2541029
1,1708800,6344.855591,3.713047513459738,334.3574829294267,13.175973064041258,18.97393071349536,39.406843683
6,300000,2338.240521,7.79413507,223.42883211717012,23.89231510520954,10.46361555584412,106.934789386
6,652800,5089.265721,7.796056557904412,281.23826501456693,13.82024579007711,18.089403314338966,49.140702064
6,768000,5985.156811,7.793172930989583,299.87066413725444,12.530531055304465,19.951269335402124,41.786451807
6,979200,7630.791771,7.792883753063725,351.97917408976735,11.537327519705562,21.66879631119115,32.778437956
6,1017600,7931.472081,7.794292532429245,360.0944945390725,11.35592219579739,22.01494477414791,31.535950613
6,1209600,9430.403621,7.796299289847884,408.99362494796185,10.84899105010296,23.043617498202973,26.526063949
6,1363200,10613.007302,7.785363337734742,488.72947351822575,11.520231973854473,21.70095190508167,23.571797074
6,1516800,11827.600889,7.797732653612869,570.3167455136023,12.064677159082624,20.721648553338458,21.154344939
6,1708800,13316.288484,7.792771818820225,749.1227085122296,14.07711736628414,17.759317727844667,18.791470618
6,1900800,14806.040865,7.789373350694445,834.8738938470302,14.110360691302377,17.717477637130845,16.901188066
6,2016000,15713.387806,7.794339189484127,938.3594991499206,14.943766196948536,16.729383791553772,15.925416869
